876 851
570 435 -838
691 20 -463
574 480 312
57 15 -63
365 711 618
5 575 389
231 454 -61
589 4 221
217 865 -267
256 16 116
247 741 -535
729 788 -194
681 804 -206
581 748 -481
372 79 -662
290 96 -582
385 629 467
64 334 -615
136 507 -455
747 461 101
479 125 863
79 815 380
106 505 -318
473 799 -534
799 28 -960
679 424 619
474 773 395
391 875 725
345 389 676
831 592 313
793 57 -727
679 146 429
857 774 -770
262 201 -705
777 713 591
193 336 -169
288 492 792
800 429 -890
728 192 -11
87 319 76
575 196 603
33 282 -818
288 573 732
185 463 765
627 354 875
603 132 354
707 681 -757
659 750 135
187 418 -512
352 223 -528
266 757 -191
441 280 -281
251 562 -626
529 712 396
666 786 -633
781 126 963
369 314 -262
295 86 -224
261 214 836
831 721 362
297 206 -935
438 844 -295
396 199 912
872 523 -991
597 99 -376
97 535 -647
211 277 -807
51 487 -683
72 348 204
563 744 772
628 378 254
137 115 352
401 248 -44
705 332 -350
67 672 738
585 495 -436
823 615 613
132 615 942
846 531 -445
387 472 -958
506 94 -182
399 133 742
625 284 598
363 157 54
856 106 -296
625 762 616
66 157 -161
185 208 704
175 471 -890
308 484 3
549 74 591
443 790 248
599 236 -3
144 788 573
78 507 339
233 14 -734
450 628 -980
720 162 81
91 292 19
522 661 838
543 598 450
50 574 305
70 514 530
514 75 23
200 42 -520
480 826 521
85 317 -211
797 8 4
708 200 129
837 289 306
716 587 99
443 875 -624
241 660 852
722 149 -133
651 845 123
468 83 955
736 676 -501
598 178 413
482 475 -276
403 575 -590
292 661 486
799 332 876
551 326 -989
789 300 -652
587 167 -971
654 816 430
468 78 -677
69 611 -45
343 313 -746
503 487 -582
45 778 -441
490 1 791
774 809 138
511 103 990
511 716 286
766 319 -879
746 209 -301
30 75 688
83 297 -975
822 629 -315
287 396 49
339 497 15
474 674 276
819 503 155
792 172 -306
588 104 -753
292 776 -600
763 628 502
798 846 -652
676 519 -140
516 477 -651
691 833 619
174 183 510
121 162 940
465 596 -851
291 270 623
171 774 534
675 218 -43
779 833 670
532 460 -663
350 567 -339
694 193 -53
100 162 968
441 326 806
527 16 813
313 418 423
293 595 -945
119 168 213
551 865 -621
166 771 -914
524 230 -47
684 821 556
758 729 480
608 211 -237
40 626 -170
462 47 -862
593 60 -605
718 657 -95
574 691 -680
823 311 406
463 104 -687
4 206 412
541 533 -370
867 2 555
286 320 353
304 574 -996
146 810 795
524 660 561
478 158 527
804 737 -156
396 274 -892
718 676 -736
511 549 956
324 164 672
811 254 -534
222 479 -869
217 165 902
136 276 -115
548 337 332
556 495 378
204 407 -18
361 786 315
172 15 -480
432 353 241
96 83 -588
227 430 -357
276 62 -941
309 90 -131
14 679 -516
261 157 870
571 37 -179
508 806 345
459 820 -136
800 333 50
715 565 -184
826 515 146
180 285 960
798 441 14
297 380 565
433 58 402
656 122 200
73 65 -538
556 239 -932
86 783 706
807 868 197
119 562 323
499 408 346
382 165 -852
499 820 -251
752 821 -202
450 398 -911
633 830 643
266 345 206
624 734 -870
841 150 -937
97 680 360
716 570 644
248 341 868
863 6 38
672 153 800
790 838 -985
145 757 983
656 373 420
315 792 79
617 747 -799
787 278 682
795 847 914
665 185 823
252 312 726
237 390 651
738 385 612
309 279 -503
762 99 875
310 400 -732
693 297 921
364 640 -976
776 249 -822
527 147 -116
573 672 -898
832 645 402
680 549 773
355 693 -288
722 169 780
303 412 649
21 248 -10
162 744 627
184 508 310
514 207 -625
570 134 -391
167 347 824
798 442 791
439 751 582
337 366 -816
104 686 -207
