19
828 1871
471 588 115
575 146 635
118 783 968
287 774 278
658 759 147
599 732 958
220 689 825
420 577 415
163 230 207
128 175 438
59 773 693
430 365 402
807 37 911
595 198 370
297 136 519
410 406 364
190 760 475
311 641 779
95 532 764
198 357 404
297 144 355
119 826 11
614 498 716
188 763 780
127 809 77
218 164 36
639 712 125
417 52 451
773 186 250
230 184 264
135 720 880
170 678 956
228 382 156
125 703 652
255 827 347
147 658 854
327 389 913
183 636 982
213 744 339
603 417 126
373 11 871
215 788 848
437 248 76
740 703 4
95 111 741
532 722 358
828 764 945
149 686 810
546 801 432
315 89 304
593 825 759
398 348 751
191 548 551
285 533 685
599 515 193
371 544 548
379 307 770
727 59 724
414 494 913
428 673 2
647 245 305
17 468 839
580 122 461
501 57 846
668 157 525
459 315 245
121 430 594
155 674 475
710 368 534
526 577 835
33 373 115
125 357 179
362 130 133
747 556 473
677 775 148
494 754 957
551 259 724
813 403 709
136 702 776
508 141 316
152 444 538
331 615 511
778 264 36
502 351 755
600 669 528
626 53 73
313 294 91
389 271 178
560 42 311
611 534 118
700 498 963
625 749 113
438 327 809
416 611 622
252 646 795
421 723 451
714 772 166
713 769 116
718 380 379
592 495 994
22 566 825
453 22 825
52 697 490
783 680 955
276 170 721
803 94 408
559 560 96
501 730 212
654 518 143
665 113 743
694 342 736
299 349 326
384 348 306
212 801 957
734 454 127
690 729 911
283 217 261
325 81 519
731 822 423
549 85 180
499 488 233
486 18 335
184 438 323
55 487 490
161 356 569
571 605 857
90 798 529
667 436 439
216 747 507
739 383 31
815 162 451
491 34 7
42 754 744
394 585 28
130 48 141
494 730 52
36 6 629
767 810 322
298 131 341
817 70 63
13 333 972
719 613 618
62 29 109
370 318 421
532 142 159
132 805 436
753 488 562
512 126 564
455 111 414
389 165 165
772 637 778
713 366 716
563 423 294
287 190 440
582 786 571
9 429 644
145 797 589
777 598 717
348 789 804
473 78 148
524 545 211
751 295 39
666 264 656
529 779 40
228 799 457
730 278 39
661 733 208
715 535 808
815 771 460
107 36 701
687 151 766
20 36 121
261 777 255
145 151 821
440 669 205
75 755 255
212 234 863
601 402 776
449 632 381
117 795 464
668 702 328
182 806 359
655 425 131
354 142 128
621 369 982
117 581 662
158 117 968
504 785 21
801 581 721
783 404 721
210 700 505
498 107 891
316 348 617
556 501 757
257 375 290
337 113 74
163 120 10
389 34 75
812 476 757
757 716 491
313 585 355
37 543 114
730 707 104
290 718 30
639 384 253
55 810 422
17 242 333
163 752 898
750 678 602
358 127 958
306 557 188
80 445 415
791 784 270
305 577 924
108 57 791
296 195 213
433 703 704
206 95 525
672 574 88
258 825 385
240 157 843
359 287 935
799 99 94
185 388 228
233 504 617
754 688 608
285 262 890
809 521 400
806 466 557
261 571 900
550 795 720
775 255 639
145 797 257
444 709 645
442 127 687
168 342 523
426 495 705
678 597 674
228 68 564
84 724 358
83 250 148
111 824 765
349 747 347
154 450 300
418 633 528
782 549 275
401 615 384
247 474 545
71 625 933
624 250 910
82 709 152
570 42 524
177 114 395
555 422 801
413 119 449
552 227 442
539 461 103
518 575 243
261 192 874
421 770 94
119 578 563
93 327 721
675 712 21
417 136 427
488 573 492
676 383 979
587 548 249
312 591 278
818 264 601
702 762 164
275 243 167
384 740 581
477 624 47
57 265 37
63 273 810
522 482 824
143 544 744
419 261 553
755 716 829
806 683 468
441 627 824
508 324 386
751 604 648
584 463 953
360 620 439
364 722 270
641 157 977
17 382 685
798 507 571
726 742 639
700 503 913
720 194 328
436 350 904
164 14 955
166 612 860
372 640 264
595 28 272
9 760 784
303 606 747
126 34 167
353 571 927
611 522 677
299 470 344
376 427 689
402 452 965
49 337 383
749 828 493
105 292 194
642 196 900
267 548 470
609 303 460
63 683 731
136 755 179
610 635 130
631 825 307
814 329 292
247 276 95
414 495 733
678 298 224
216 438 936
816 801 172
814 819 778
590 110 282
716 673 618
663 756 117
714 30 341
812 338 799
520 616 484
362 291 550
540 148 846
151 388 630
467 763 812
806 617 163
124 262 982
611 655 336
570 195 159
413 558 914
562 219 435
37 625 288
441 64 849
308 113 903
45 201 129
199 777 59
621 462 639
141 791 145
368 570 997
800 424 438
441 660 248
784 197 352
690 800 114
332 705 734
459 769 391
651 273 612
455 650 839
400 187 596
391 380 708
140 68 370
796 688 902
6 11 41
62 579 494
795 819 881
495 509 1000
200 110 655
159 368 324
540 560 972
635 706 281
772 64 318
540 89 658
415 147 88
13 731 247
365 317 198
798 356 733
84 79 590
115 204 396
108 25 974
292 323 560
792 687 314
556 309 468
25 376 526
250 262 562
345 706 836
764 64 880
381 16 12
439 287 116
497 224 276
251 389 992
87 759 254
597 404 479
602 330 567
556 224 529
414 749 24
481 543 142
264 97 105
76 555 998
642 268 329
204 575 463
127 134 887
650 827 766
363 205 246
568 576 313
470 485 869
306 648 823
478 358 212
564 777 93
349 217 657
457 518 652
724 387 330
225 231 693
642 604 498
298 639 281
374 607 508
613 182 717
362 702 259
481 725 564
701 587 511
674 70 678
87 733 763
219 445 486
38 687 917
83 578 811
200 273 521
423 453 696
803 343 547
5 672 150
229 304 658
739 436 527
643 108 639
388 607 34
395 150 583
672 360 26
611 646 517
161 313 528
369 568 218
325 75 668
475 406 900
228 246 727
288 4 208
708 22 214
155 174 862
377 2 436
233 208 960
122 454 72
447 681 247
714 72 748
169 107 127
62 673 516
793 173 960
142 16 294
464 757 617
467 320 275
729 421 733
689 103 976
73 713 699
3 248 132
208 444 217
125 24 603
720 718 906
155 397 689
652 338 397
176 724 878
218 206 116
706 164 136
444 614 143
56 720 530
302 396 83
706 280 15
474 222 479
679 537 828
291 287 753
624 141 967
302 473 528
25 282 257
1 88 642
424 725 282
633 412 54
2 481 904
203 282 63
582 72 634
255 322 524
629 270 737
754 594 555
36 683 784
825 394 880
206 238 27
104 431 384
402 413 715
671 502 169
778 258 145
86 661 563
574 459 899
525 282 909
649 281 455
43 381 646
792 159 508
730 351 884
659 258 874
764 755 158
735 78 326
784 183 228
823 533 856
416 573 562
248 36 126
819 88 255
402 313 362
737 573 696
523 42 586
396 302 794
407 690 783
292 233 596
374 91 166
300 824 807
440 119 461
105 17 424
675 416 511
331 227 356
265 259 717
744 608 282
222 313 117
38 125 450
713 353 639
223 334 742
645 476 97
484 700 702
121 543 183
315 513 346
747 583 277
494 248 450
428 27 998
271 468 524
408 404 338
785 444 809
404 451 416
110 278 494
494 668 412
767 306 924
275 719 5
125 75 977
224 241 381
533 99 511
67 770 372
448 183 764
622 13 649
55 266 686
610 756 60
96 137 793
676 533 65
183 76 811
503 16 77
74 306 363
7 251 378
182 341 762
433 316 340
161 51 375
423 331 866
615 228 4
271 152 143
386 356 3
572 473 885
744 154 335
38 358 879
634 173 510
582 459 412
701 812 980
824 95 240
515 551 453
39 348 75
689 275 158
404 3 414
786 286 559
250 333 13
627 235 51
807 742 161
118 249 567
399 578 634
63 327 585
202 190 254
58 766 551
21 336 850
772 681 977
680 774 551
827 261 188
502 628 672
346 19 321
608 487 2
264 793 171
534 155 152
69 12 506
313 83 472
455 194 475
574 690 400
372 349 990
173 714 712
184 89 597
442 297 533
570 703 337
784 367 310
161 723 352
97 750 673
437 656 476
692 39 310
333 676 939
92 293 723
432 602 701
144 212 484
128 772 896
222 32 432
39 739 807
708 497 256
612 646 678
6 287 983
646 659 130
672 463 604
435 335 778
343 529 718
605 370 384
327 401 749
456 619 817
739 564 835
240 164 791
365 30 586
552 44 282
374 285 20
131 375 98
460 326 973
50 159 758
249 367 361
445 760 83
739 4 286
464 232 128
6 514 265
137 806 376
376 786 267
726 556 82
747 196 470
740 42 572
778 102 137
220 70 805
780 749 312
532 488 770
208 644 693
43 464 226
70 1 706
740 395 433
189 432 754
528 100 312
599 402 484
598 345 803
9 418 875
747 693 357
700 522 68
39 617 284
290 47 340
306 397 450
256 671 113
586 132 4
362 639 292
667 808 611
766 270 973
716 262 162
456 637 816
100 371 871
558 813 905
696 67 279
236 622 637
105 633 769
36 425 568
810 79 195
1 643 584
262 154 689
311 372 457
653 102 647
426 609 179
458 288 6
363 606 123
33 543 340
682 711 572
656 353 802
541 680 345
263 126 404
535 142 198
405 305 167
285 378 381
339 593 355
213 41 492
696 537 320
277 424 211
365 66 641
659 817 712
779 258 239
362 370 355
197 273 787
87 290 670
235 238 968
433 2 475
533 151 725
64 477 399
21 224 432
793 147 971
728 725 646
416 519 303
538 59 965
406 257 119
75 429 685
680 83 371
70 776 896
392 71 542
534 791 23
716 373 225
41 261 368
622 338 878
139 121 144
773 510 790
11 27 400
598 560 98
479 357 925
694 232 200
546 616 374
690 81 598
317 369 544
693 671 828
824 646 71
787 185 553
247 414 724
290 675 90
768 700 442
439 579 268
681 218 782
744 69 992
574 421 207
773 84 417
32 507 840
615 702 266
385 254 601
114 161 607
730 674 428
604 350 601
243 257 58
632 82 995
407 49 775
757 489 459
298 95 181
680 807 625
177 187 5
170 429 171
16 86 456
295 301 174
361 287 502
314 568 730
79 291 666
73 15 562
675 439 171
705 241 51
341 394 445
379 612 708
687 121 370
240 633 925
94 97 505
177 136 816
332 181 248
443 85 734
322 371 384
514 828 485
200 14 118
772 635 311
708 468 216
256 620 758
643 62 913
432 553 678
356 660 602
217 692 938
47 436 307
515 696 444
238 475 870
642 789 463
41 552 822
245 602 715
621 624 929
326 200 647
540 421 545
498 389 826
137 432 501
542 792 491
15 286 509
308 193 785
706 786 785
272 505 282
106 568 758
12 817 713
310 773 818
2 573 915
457 307 939
815 597 749
497 321 408
385 480 315
100 292 848
308 440 191
696 703 77
625 416 122
373 508 305
458 134 529
691 676 807
629 376 982
176 443 265
365 61 506
133 93 753
356 277 815
676 616 573
577 35 759
595 270 133
667 510 881
173 60 92
357 483 415
805 701 371
383 509 438
735 734 138
52 440 302
185 173 248
208 166 414
731 760 706
