865 2921
316 274 399
344 493 293
327 682 24
137 503 367
349 60 71
622 624 428
243 108 376
590 563 900
9 72 320
509 361 660
183 856 907
815 342 667
89 578 672
115 530 353
213 645 721
463 66 193
460 297 720
665 687 487
372 496 859
394 602 52
741 177 968
343 594 144
545 414 231
187 806 225
52 59 483
323 165 913
203 469 187
769 189 715
83 522 642
494 709 953
372 210 355
183 541 491
501 507 425
179 5 842
346 180 558
773 396 365
709 286 763
849 709 741
136 442 550
351 312 146
698 155 9
144 464 195
507 283 586
630 72 150
97 475 929
810 371 869
663 565 143
84 750 994
523 820 683
483 861 826
308 831 84
798 520 322
477 201 140
409 169 53
461 792 76
369 360 372
58 553 323
708 117 706
605 847 783
613 442 306
284 503 780
670 248 749
747 737 286
650 81 963
377 223 739
436 412 583
107 722 852
205 108 734
552 68 624
760 778 33
130 300 30
639 246 148
249 719 310
703 221 174
685 128 488
451 389 380
454 836 704
198 96 301
127 157 696
846 439 792
445 357 138
483 859 151
613 254 128
178 137 429
410 268 607
541 152 178
220 427 573
380 510 803
514 616 114
18 551 36
769 808 305
14 181 188
476 167 619
353 824 106
120 396 777
268 151 851
761 790 688
57 734 299
698 135 796
543 737 736
346 139 212
353 192 364
781 614 485
178 309 382
660 382 411
47 454 955
532 383 11
858 170 628
544 828 453
9 234 757
113 58 494
681 811 955
757 815 347
411 20 854
695 633 674
23 489 254
177 476 946
414 177 864
446 779 934
91 770 582
6 152 645
268 427 280
553 586 19
678 539 365
439 71 493
526 358 852
817 319 841
354 637 883
450 795 716
785 85 528
710 418 803
456 206 218
284 308 361
190 606 298
789 814 82
25 185 904
265 810 720
581 781 596
294 111 966
76 669 937
326 474 634
524 21 187
780 552 686
847 574 433
644 613 626
402 294 176
513 196 336
493 44 545
554 771 727
637 322 68
239 450 953
544 344 857
614 716 152
394 802 793
727 593 12
128 428 13
366 279 817
424 93 95
701 160 328
290 65 524
194 304 88
628 74 125
227 502 312
26 562 880
326 323 80
349 98 403
180 150 981
40 502 862
550 78 129
736 741 133
637 479 801
340 113 712
420 840 392
748 36 111
218 386 972
432 196 518
516 240 947
91 73 824
447 585 197
806 298 35
114 582 358
468 849 319
535 483 105
685 337 927
1 108 524
448 196 179
510 123 654
47 95 361
169 801 997
693 335 908
646 78 34
272 823 998
699 605 44
466 192 331
242 218 347
238 489 159
460 454 720
338 365 517
84 415 486
556 374 207
554 694 464
620 414 472
291 140 533
551 239 17
429 102 573
427 859 413
535 839 180
641 669 129
648 128 100
735 717 149
480 568 451
406 822 755
459 451 821
577 460 1000
361 304 254
23 440 521
326 98 3
712 367 988
103 724 337
619 245 955
846 472 872
698 557 577
827 96 69
258 40 193
766 387 395
684 565 365
224 565 672
369 811 133
597 106 643
556 594 774
640 587 923
857 146 640
392 229 874
233 828 785
405 626 783
37 857 834
144 755 38
377 654 301
156 278 109
636 325 43
555 168 614
650 379 193
302 138 942
626 718 956
219 9 647
108 505 336
662 166 294
29 509 607
574 774 596
308 714 664
502 298 595
499 772 39
437 231 549
601 21 202
851 735 624
696 401 852
149 167 682
600 571 264
710 197 862
592 667 648
724 375 244
574 858 467
695 224 571
150 119 607
37 832 734
490 594 360
91 61 837
603 564 399
585 510 987
342 520 829
374 559 491
380 491 192
121 469 608
770 677 585
62 465 234
393 552 55
791 613 808
781 46 382
258 330 432
700 577 490
848 120 984
710 20 120
119 784 223
360 704 670
173 602 748
61 456 752
798 648 283
524 864 245
850 241 786
678 314 969
630 90 631
308 760 413
647 92 272
363 593 68
483 700 516
226 579 922
737 113 788
257 675 85
69 353 220
579 311 498
737 266 563
851 363 145
748 1 947
177 546 588
858 98 484
356 227 346
47 155 203
54 537 86
201 750 174
550 120 687
72 225 428
255 641 917
526 711 532
863 726 965
281 228 645
27 109 786
293 154 868
688 290 592
531 223 709
291 714 158
443 371 44
336 620 346
454 616 785
457 201 695
301 755 534
755 139 84
29 738 818
699 500 713
669 653 976
48 353 291
436 626 464
225 587 716
494 779 149
82 738 899
573 611 754
496 143 49
191 253 473
350 348 24
132 449 365
790 862 450
345 821 291
473 385 468
846 111 364
268 29 782
315 180 121
495 489 247
66 141 840
653 483 899
830 466 171
843 403 92
639 141 788
628 482 948
792 609 886
346 52 248
542 572 26
5 251 311
106 859 895
531 285 442
429 533 689
776 806 840
353 46 304
136 344 421
782 549 703
770 521 51
430 260 270
568 318 172
772 478 479
108 306 617
633 230 388
534 530 945
306 215 717
860 767 507
793 609 686
265 197 840
856 61 936
48 261 958
783 231 824
656 382 219
804 638 869
761 323 14
755 796 116
388 830 928
763 547 446
722 32 545
547 468 151
95 84 33
468 434 698
645 719 110
318 373 120
809 209 315
226 520 168
