17
922 841
652 531 -42
228 232 -812
549 501 956
571 593 -402
151 663 681
124 758 926
698 341 -985
462 175 -96
779 817 15
562 367 -620
490 684 994
39 609 -852
705 200 -57
276 638 992
721 76 503
27 161 776
229 318 106
555 45 -492
227 45 -690
543 914 -795
83 181 -23
281 575 394
319 324 630
52 360 766
819 315 -621
298 718 631
891 101 604
518 502 110
630 78 -464
446 47 -781
232 236 -195
627 755 -692
214 390 -289
192 178 32
581 410 539
611 784 -514
724 321 -911
582 304 197
585 690 -15
141 196 -411
719 21 -583
25 489 562
919 764 722
366 543 -996
513 152 -507
540 443 312
678 254 -858
354 833 -739
93 807 369
553 73 324
255 653 -601
229 790 -185
171 853 -107
830 394 482
509 96 -531
791 246 -757
567 311 -273
602 81 955
656 578 -542
620 325 202
37 795 964
387 16 92
687 51 60
774 68 -238
66 701 581
851 230 536
211 748 -968
711 101 991
722 463 -945
366 545 313
651 738 -920
569 146 857
4 276 -193
68 561 737
334 616 143
793 469 -795
178 801 -406
561 20 460
647 373 791
551 776 51
73 167 -506
134 668 -631
918 136 762
410 577 -967
244 140 323
19 822 607
553 64 -196
521 347 788
787 54 348
427 428 530
138 449 661
725 838 -762
398 525 -550
37 608 861
666 202 -244
669 189 527
785 4 783
901 194 46
674 609 -893
716 546 313
39 451 422
114 212 864
552 314 804
780 557 406
287 478 -664
251 150 -89
221 636 21
760 856 98
353 509 -295
183 897 -54
345 379 525
596 193 -148
198 333 -238
43 729 205
782 87 -803
462 891 399
872 611 -483
664 668 669
359 707 -64
363 568 -844
272 374 -113
733 344 968
895 44 461
877 515 -118
732 370 757
107 226 447
848 814 216
772 410 -106
92 541 453
848 518 -982
881 577 -231
863 262 87
134 691 603
848 843 -876
122 606 618
705 881 315
201 650 419
193 365 -702
905 244 -968
147 592 796
480 799 -777
21 757 -697
769 164 -874
421 221 -467
348 222 260
780 559 -872
444 1 -19
795 439 189
291 920 -11
538 159 225
127 738 -463
574 833 -623
734 705 -691
663 209 909
109 372 -222
907 880 -884
294 285 -413
549 536 -916
625 711 -180
598 896 -372
798 868 -435
446 221 285
138 297 750
783 18 -30
844 232 -285
206 63 -37
613 478 -810
731 571 -663
916 780 998
370 97 452
525 592 934
137 703 944
417 802 894
717 80 -523
660 528 612
152 157 -747
643 397 113
776 398 -933
452 708 215
642 234 165
312 79 695
901 494 755
207 323 -921
231 783 -149
404 786 -27
35 114 -667
10 720 -641
693 598 -617
389 358 -17
754 619 -560
732 143 994
97 833 35
137 338 596
415 477 268
865 80 618
63 256 -525
667 284 -95
911 138 115
664 658 -285
477 469 646
312 78 608
296 383 -259
793 750 190
640 2 94
399 56 175
793 662 -334
827 25 603
350 216 -136
170 131 686
434 75 186
342 327 -973
878 742 885
436 234 72
900 467 -849
613 706 -29
714 711 830
414 818 44
244 828 548
234 496 246
146 238 -631
833 748 -933
567 646 -223
137 622 126
494 768 657
630 801 589
19 908 -806
747 80 -283
377 329 -255
744 791 925
439 785 469
16 142 464
12 910 -435
887 736 -385
697 533 776
641 728 851
887 735 -298
579 886 376
263 519 -262
193 289 -845
227 798 774
560 801 113
864 91 173
351 501 -582
162 37 595
915 728 -877
292 173 762
858 240 462
637 246 -915
636 305 816
756 744 -216
418 291 406
560 733 949
920 833 -440
320 552 448
302 770 265
800 326 105
346 728 335
848 486 -995
398 454 880
637 157 -432
896 22 -443
188 1 458
173 62 893
23 917 156
280 137 -968
397 670 -386
142 791 88
108 867 719
217 47 -925
266 277 -588
256 908 -857
275 767 -698
922 97 724
293 556 -966
356 412 -520
460 654 351
910 387 -891
331 437 -424
842 794 440
103 699 -360
213 315 975
367 435 88
368 624 832
169 846 674
756 485 -664
518 111 267
861 264 -483
745 218 447
752 286 -3
428 605 -613
634 623 -822
285 724 -380
363 614 -561
59 661 -828
728 732 941
479 686 -834
235 94 509
460 314 466
382 518 627
198 29 -888
349 367 119
645 93 132
60 165 681
610 361 -363
293 570 202
252 833 -543
781 123 -23
789 410 -980
440 213 243
410 170 766
468 271 -890
731 385 -700
544 847 -713
132 909 46
300 502 -960
751 196 526
416 558 -896
307 678 556
120 842 -390
114 445 469
102 86 325
219 93 364
61 333 -187
20 519 267
475 92 -780
51 657 915
685 580 -855
407 727 559
59 435 545
452 754 -906
231 793 -1
796 17 -30
362 19 533
476 656 -508
390 658 -964
394 648 399
466 472 -777
524 470 295
630 830 -747
668 884 184
543 264 506
716 464 -618
339 194 822
600 835 -773
784 52 -227
400 134 -647
679 827 -443
731 689 384
401 119 -187
59 899 451
565 50 943
791 842 480
891 830 738
804 718 690
213 174 -433
760 524 -622
379 625 -102
151 247 162
293 576 -540
122 8 452
730 76 -569
254 137 -218
208 822 -418
918 310 826
664 23 660
921 731 937
382 772 22
473 754 -808
559 75 -869
461 510 964
843 260 -43
269 884 -931
671 921 385
428 579 419
300 867 522
778 826 891
494 681 -595
29 574 462
37 279 613
333 761 628
419 360 -688
308 824 109
210 253 -250
724 743 601
716 277 -122
394 328 122
892 593 -266
245 711 414
267 554 874
767 235 -864
101 797 -120
182 579 -61
786 898 887
175 536 916
794 795 679
834 749 587
719 820 336
548 699 -167
688 286 -947
633 390 409
487 109 -956
651 915 520
547 341 -734
845 70 -754
8 122 -453
52 244 529
416 136 -397
654 779 651
824 250 -900
292 744 969
238 905 -963
382 438 45
717 333 404
232 770 336
136 855 146
176 550 -700
900 487 -308
368 205 -112
298 851 872
676 509 235
430 751 368
328 258 629
489 605 760
472 568 -956
818 268 -240
584 416 521
718 585 65
304 892 545
320 842 -234
902 595 380
814 854 -481
671 509 -778
794 631 792
54 822 -400
598 843 27
724 138 45
476 242 375
743 469 -858
85 15 340
675 129 543
315 845 730
396 35 -562
540 11 947
429 392 -6
519 637 823
854 327 -169
863 792 -617
209 768 339
90 902 -353
678 921 -754
908 912 -169
3 120 -407
887 670 -753
204 104 -236
892 689 -368
905 66 353
71 764 127
850 100 209
849 319 903
743 862 -195
252 635 -343
469 577 405
905 210 -419
889 129 657
881 481 190
320 586 -876
710 163 -602
761 556 -584
556 783 852
306 645 862
905 428 261
597 3 -794
262 230 -431
717 163 -262
878 490 -56
58 842 777
617 713 -61
852 383 324
293 523 -818
134 95 62
762 401 288
811 540 172
209 474 196
627 742 -172
251 681 886
623 672 -365
541 270 -754
677 391 -490
602 583 272
591 809 608
618 829 712
142 318 -62
420 27 -258
3 752 981
215 867 833
227 697 -444
184 598 43
890 775 -408
734 783 170
407 868 -724
537 541 934
706 387 222
166 47 84
261 513 -422
239 617 -905
774 823 -385
732 771 207
86 20 754
715 106 -935
384 459 -744
505 853 869
551 29 472
405 275 64
130 452 -365
158 592 428
455 571 -404
163 348 607
503 397 949
650 704 -780
626 179 -556
46 783 554
536 8 311
603 89 333
550 562 704
811 810 762
758 681 -419
758 744 -20
874 510 954
623 744 -495
606 530 404
400 201 -955
282 532 857
196 475 364
755 691 -297
811 298 270
770 599 129
358 316 -497
27 119 -672
684 477 994
833 582 -629
11 871 -56
49 889 269
598 828 292
44 442 909
365 491 -280
689 275 -783
24 803 -753
164 232 332
285 630 -910
417 700 878
425 4 -391
508 198 -785
156 468 -477
893 849 -592
58 641 897
553 907 742
108 440 156
425 184 -478
126 606 504
669 805 -180
691 561 883
440 173 767
860 596 -447
253 797 670
206 339 -667
574 327 536
801 64 -501
557 278 -615
365 276 615
518 538 -133
168 754 -376
581 522 348
506 653 -99
642 646 555
802 199 -837
131 499 -441
762 586 -476
468 687 620
607 839 108
233 747 -293
2 906 96
606 60 -713
168 415 721
157 593 -391
24 851 571
736 501 -814
569 536 447
845 682 909
714 169 -652
23 195 -930
241 291 -822
571 395 -605
17 610 865
903 395 677
34 581 -356
10 403 -84
92 841 575
537 849 713
42 752 76
194 471 -616
574 877 -400
238 323 490
750 816 -400
768 382 -971
588 52 -212
759 749 -634
371 68 227
85 31 -55
179 161 -891
485 58 -323
841 721 -546
289 675 175
903 716 43
663 474 324
402 576 -867
211 710 -914
466 643 -480
597 611 73
366 214 946
394 538 771
347 612 -523
780 623 -962
672 355 809
213 731 705
130 167 780
688 303 -636
21 98 -572
486 623 -93
395 234 257
623 765 -266
328 247 190
486 28 -790
562 329 765
555 704 -38
787 774 621
303 97 274
678 420 140
504 544 439
166 221 717
644 411 652
826 744 773
596 164 932
489 866 -638
798 42 -834
325 51 -44
367 316 -611
165 380 -906
700 658 -741
466 412 213
397 751 -243
787 165 -326
498 377 598
56 697 -282
365 344 206
473 309 -278
745 449 903
175 607 942
267 214 -412
858 729 540
456 438 -356
99 846 -562
851 219 -244
290 145 -846
122 279 -630
445 203 -526
617 34 -846
333 864 -759
262 268 719
920 257 234
420 138 -260
672 396 219
363 97 -104
659 897 898
251 608 -68
899 505 746
270 871 -626
568 729 616
142 738 988
139 109 809
843 480 -759
188 182 966
184 502 24
758 436 377
452 647 651
648 139 -152
646 155 -887
866 204 -412
571 798 854
159 83 394
745 738 -723
27 129 26
740 822 767
128 408 91
76 665 -984
103 740 -855
246 341 264
595 758 923
614 358 -321
191 528 -892
792 419 -843
792 616 -375
812 134 864
25 396 -191
70 17 -578
426 266 -1000
463 394 -7
904 92 -296
87 209 4
646 557 -73
603 137 -7
634 429 264
165 197 -472
237 783 766
667 400 455
310 683 246
708 802 413
176 325 -263
570 316 -999
100 114 -224
92 896 914
432 248 -834
721 26 -314
6 69 -459
889 384 192
589 334 -727
396 448 -521
355 601 100
368 420 -426
214 255 624
565 450 31
631 745 -310
366 721 279
233 63 586
184 216 303
724 368 -356
260 56 -234
676 777 -24
133 18 -177
516 827 926
764 828 136
