9554 25937
4754 1872 319
1790 5134 -835
7537 1353 581
7133 1945 -692
3022 3989 323
1172 6060 -213
3017 9216 996
9178 2671 392
208 8624 251
7781 2437 563
2492 9223 -697
6904 1818 558
3173 8984 748
5191 2585 694
4660 931 -731
711 3631 -391
5340 3372 -883
8976 855 12
5616 8172 83
303 2200 -917
2085 4262 356
9550 5281 -333
3011 6656 -501
7803 546 707
6452 5904 -132
8906 6908 -151
4765 7403 884
3424 8108 -288
4532 3254 -673
7319 1509 127
7168 8199 51
7803 9001 299
3749 1475 579
439 6915 -872
8863 8982 -173
4719 243 -953
4815 1507 -251
6815 2918 -315
4493 3156 196
2511 7297 795
6307 893 544
5661 5026 -821
6297 9056 956
9368 68 -17
3761 3655 -790
2587 8850 -635
1824 3094 -858
3062 7047 -449
5024 9078 137
4897 9522 257
3869 589 -399
160 8456 -237
3346 1096 -273
4155 4858 -37
7321 51 -351
6358 4618 418
7109 1730 691
5710 7059 -306
8091 4665 -948
5965 7675 423
3418 2603 -690
293 2677 -540
4036 1760 -683
4679 8369 -343
4877 6751 -767
7791 2349 -501
1376 5832 -100
7055 7001 298
7869 7596 842
6921 4650 -326
3921 6727 -661
3903 1584 -875
2356 8024 243
2171 1505 -972
9082 7271 287
6783 7945 77
1751 1062 822
685 3891 -493
3529 378 437
8754 1951 -455
1852 8635 -570
4034 5785 -280
3892 68 -974
6090 5899 -232
6710 7281 461
7697 6771 -698
3265 3061 854
6512 7472 -192
5089 7294 -808
3711 3111 -921
1551 1384 -408
8946 2558 621
6877 570 413
5521 6754 701
176 1922 -411
7367 709 -822
1217 8071 -512
4762 7074 836
1283 2453 477
8924 1386 -26
680 5597 -197
7228 3028 -229
7139 5610 667
4253 7002 -723
2121 2945 -238
7218 9139 -323
6118 9215 969
5369 917 -537
5682 7065 -669
8193 2167 40
8617 6129 -469
571 1088 -567
1103 5442 606
9321 312 -809
4422 5712 459
1201 3013 746
5030 2907 -86
1977 7779 496
8119 8182 430
996 7767 96
4613 235 -63
7117 545 232
7947 5250 -330
4058 2847 -370
3245 9552 -950
6794 3401 -901
3597 3931 -774
2380 776 725
6750 8878 -602
2362 7040 -318
7761 905 655
6999 6212 -461
251 2061 465
3745 2288 334
2987 2181 258
9504 5178 317
7456 6214 722
1964 5906 699
2034 6819 -89
5305 1407 692
5056 2536 -145
758 5736 -84
4932 8405 -92
7657 8904 208
1708 4826 -484
2091 577 377
867 8589 175
716 5448 -445
4618 2635 -823
4401 8792 -341
7711 6407 -517
8595 840 14
